V1 V2 V3 V5 V6 V11 V12 V14 V15
250 cell1_MACS_peak_11296 5 6 7 4 8 5 9 10
251 cell1_MACS_peak_11297 11 12 13 14 15 22 23 18
252 cell1_MACS_peak_11314 11 10 8 10 13 11 9 11
253 cell1_MACS_peak_1132 4 1 3 3 14 15 14 17
254 cell1_MACS_peak_11320 9 11 6 3 10 12 13 12
255 cell1_MACS_peak_11321 5 6 5 5 11 11 11 13
256 cell1_MACS_peak_11328 5 4 4 3 12 12 14 14
257 cell1_MACS_peak_1133 1 3 3 2 11 7 10 13
258 cell1_MACS_peak_11332 10 7 11 12 30 25 30 31
259 cell1_MACS_peak_11333 2 4 4 6 10 11 10 10
260 cell1_MACS_peak_11335 7 6 12 6 16 16 18 18
261 cell1_MACS_peak_11345 5 5 5 8 28 22 30 31
262 cell1_MACS_peak_11347 8 6 8 11 15 10 14 15
263 cell1_MACS_peak_11349 11 11 15 10 23 27 28 26
264 cell1_MACS_peak_11350 14 12 14 13 25 29 29 27
265 cell1_MACS_peak_11355 2 3 2 9 15 16 18 21
266 cell1_MACS_peak_1136 2 3 3 5 12 12 11 12
267 cell1_MACS_peak_11361 4 3 5 8 21 23 21 29
268 cell1_MACS_peak_11362 4 4 5 5 24 20 26 26
269 cell1_MACS_peak_11364 8 8 7 5 14 16 16 16
270 cell1_MACS_peak_11373 11 11 26 21 47 53 53 61
271 cell1_MACS_peak_1138 7 6 11 9 10 14 13 16
272 cell1_MACS_peak_11381 9 11 8 12 15 18 13 18
273 cell1_MACS_peak_11382 3 4 5 6 22 22 24 21
274 cell1_MACS_peak_11387 7 5 5 11 11 11 16 16
275 cell1_MACS_peak_11388 6 5 5 8 9 10 14 10
276 cell1_MACS_peak_114 24 22 28 32 50 42 55 60
277 cell1_MACS_peak_11403 5 6 10 9 15 18 21 16
278 cell1_MACS_peak_11406 4 4 7 7 11 12 10 13
279 cell1_MACS_peak_1141 3 4 5 4 9 10 9 10
280 cell1_MACS_peak_11413 11 14 14 14 18 17 15 16
281 cell1_MACS_peak_11414 4 4 2 7 16 12 16 12
282 cell1_MACS_peak_11426 2 2 6 6 12 14 14 12
283 cell1_MACS_peak_11432 3 3 7 6 13 10 14 18
284 cell1_MACS_peak_11433 5 5 9 5 19 19 22 20
285 cell1_MACS_peak_11438 4 9 12 8 16 16 19 15
286 cell1_MACS_peak_11441 1 2 0 1 12 8 9 12
287 cell1_MACS_peak_11442 6 6 5 2 16 19 23 19
288 cell1_MACS_peak_11449 1 0 1 1 6 11 7 5
289 cell1_MACS_peak_11453 2 1 6 6 12 6 12 13
290 cell1_MACS_peak_11454 4 4 6 3 19 18 17 21
291 cell1_MACS_peak_11468 3 3 4 2 12 9 12 14
292 cell1_MACS_peak_11471 7 6 10 11 34 36 42 48
293 cell1_MACS_peak_11475 7 5 4 10 9 15 15 12
294 cell1_MACS_peak_11479 3 3 8 7 8 11 13 17
295 cell1_MACS_peak_11497 9 7 8 12 20 24 19 17
296 cell1_MACS_peak_11509 8 8 10 12 15 7 21 13
297 cell1_MACS_peak_1151 8 6 11 8 5 12 10 12
298 cell1_MACS_peak_11510 4 2 3 5 9 9 5 9
299 cell1_MACS_peak_11512 9 10 7 7 15 10 15 12
300 cell1_MACS_peak_11516 7 11 11 7 28 20 26 26
301 cell1_MACS_peak_11517 7 6 11 8 11 8 10 14
302 cell1_MACS_peak_11521 12 13 15 14 11 8 10 14
303 cell1_MACS_peak_11526 12 9 11 7 7 11 11 11
304 cell1_MACS_peak_11531 6 8 7 8 24 22 18 22
305 cell1_MACS_peak_11556 3 5 3 6 6 8 8 8
306 cell1_MACS_peak_11563 6 4 7 6 11 13 11 12
307 cell1_MACS_peak_11569 10 8 12 7 30 37 34 36
308 cell1_MACS_peak_11570 14 13 12 13 13 15 17 15
309 cell1_MACS_peak_11577 11 12 10 14 14 13 15 16
310 cell1_MACS_peak_11580 22 26 27 33 67 72 77 72
311 cell1_MACS_peak_11589 9 7 6 6 13 13 17 16
312 cell1_MACS_peak_11597 8 5 10 13 21 23 23 25
313 cell1_MACS_peak_11598 11 10 17 13 29 23 29 30
314 cell1_MACS_peak_11602 6 10 9 10 40 32 40 42
315 cell1_MACS_peak_11606 3 3 4 4 14 13 17 18
316 cell1_MACS_peak_11608 18 12 15 12 37 31 45 37
317 cell1_MACS_peak_11614 5 4 4 6 15 11 16 14
318 cell1_MACS_peak_11623 9 7 11 16 27 27 20 32
319 cell1_MACS_peak_11645 2 3 2 4 9 9 12 10
320 cell1_MACS_peak_11647 3 3 3 7 11 17 17 15
321 cell1_MACS_peak_11651 13 12 13 23 58 65 67 60
322 cell1_MACS_peak_11652 2 3 2 4 12 14 11 16
323 cell1_MACS_peak_11656 5 3 1 2 9 8 12 11
324 cell1_MACS_peak_11660 4 2 5 7 12 12 14 16
325 cell1_MACS_peak_11671 6 5 8 10 34 26 37 29
326 cell1_MACS_peak_11678 2 2 4 3 12 14 19 18
327 cell1_MACS_peak_11686 9 8 10 9 15 13 15 15
328 cell1_MACS_peak_11688 3 4 11 10 15 22 23 23
329 cell1_MACS_peak_11692 5 3 6 8 17 21 21 19
330 cell1_MACS_peak_11696 5 4 8 6 12 14 18 14
331 cell1_MACS_peak_11701 3 1 4 4 13 19 20 20
332 cell1_MACS_peak_11713 16 16 26 25 72 72 90 80
333 cell1_MACS_peak_11740 4 3 6 6 8 14 11 12
334 cell1_MACS_peak_11751 2 4 4 6 9 10 15 8
335 cell1_MACS_peak_11758 1 2 2 2 10 8 11 6
336 cell1_MACS_peak_11764 5 5 4 6 8 9 10 7
337 cell1_MACS_peak_11770 3 3 3 6 15 16 19 15
338 cell1_MACS_peak_11776 6 5 6 4 14 20 23 20
339 cell1_MACS_peak_11790 9 10 21 15 36 41 39 46
340 cell1_MACS_peak_11797 7 5 7 8 17 16 23 23
341 cell1_MACS_peak_11808 1 3 1 4 15 12 14 20
342 cell1_MACS_peak_1181 10 9 8 11 15 11 10 12
343 cell1_MACS_peak_11811 13 14 16 19 60 60 66 53
344 cell1_MACS_peak_11814 3 2 5 2 10 10 13 12
345 cell1_MACS_peak_11818 2 2 2 4 10 10 12 12
346 cell1_MACS_peak_1182 5 6 9 7 21 21 25 25
347 cell1_MACS_peak_11822 5 5 5 6 10 10 16 15
