V1 V2 V3 V5 V6 V11 V12 V14 V15
159 cell1_MACS_peak_10762 10 8 15 7 17 15 14 17
160 cell1_MACS_peak_10764 11 8 11 9 10 8 9 10
161 cell1_MACS_peak_10772 11 13 11 11 23 16 17 16
162 cell1_MACS_peak_10776 6 5 11 6 11 13 13 10
163 cell1_MACS_peak_10777 10 9 10 10 14 12 15 11
164 cell1_MACS_peak_10778 15 15 10 12 10 9 9 9
165 cell1_MACS_peak_10789 8 11 9 9 14 15 13 11
166 cell1_MACS_peak_1079 12 12 15 14 15 14 16 12
167 cell1_MACS_peak_10801 11 8 10 12 15 13 10 17
168 cell1_MACS_peak_10804 17 16 14 19 22 26 25 25
169 cell1_MACS_peak_10808 7 9 9 9 11 10 11 11
170 cell1_MACS_peak_1081 17 17 13 16 12 10 13 12
171 cell1_MACS_peak_10811 18 19 19 22 21 26 25 21
172 cell1_MACS_peak_10813 11 7 10 6 25 24 31 26
173 cell1_MACS_peak_10817 22 20 26 22 28 21 27 24
174 cell1_MACS_peak_10824 14 15 17 17 23 17 22 21
175 cell1_MACS_peak_10833 12 10 12 14 7 10 8 14
176 cell1_MACS_peak_10836 7 6 9 6 8 9 8 9
177 cell1_MACS_peak_10843 15 16 13 17 27 27 26 26
178 cell1_MACS_peak_10860 18 19 18 16 12 16 15 15
179 cell1_MACS_peak_10864 28 25 27 24 15 15 15 17
180 cell1_MACS_peak_10867 13 13 14 15 24 20 24 24
181 cell1_MACS_peak_10879 18 22 15 18 19 21 18 19
182 cell1_MACS_peak_10881 19 24 23 20 41 31 35 34
183 cell1_MACS_peak_109 16 13 12 13 15 14 15 15
184 cell1_MACS_peak_10906 16 16 17 16 22 17 16 19
185 cell1_MACS_peak_10910 12 12 18 12 31 27 29 32
186 cell1_MACS_peak_10916 11 10 12 16 9 12 13 11
187 cell1_MACS_peak_10927 9 11 13 11 15 12 8 14
188 cell1_MACS_peak_1093 10 10 8 10 6 6 6 4
189 cell1_MACS_peak_10932 12 14 13 13 14 17 12 15
190 cell1_MACS_peak_10934 9 7 7 9 11 9 10 7
191 cell1_MACS_peak_10938 7 7 9 8 12 14 12 15
192 cell1_MACS_peak_10940 16 16 19 15 31 36 38 35
193 cell1_MACS_peak_10941 19 19 21 22 18 16 19 19
194 cell1_MACS_peak_10942 12 12 14 12 16 17 19 17
195 cell1_MACS_peak_10943 18 21 22 24 24 24 25 25
196 cell1_MACS_peak_10947 12 13 12 12 15 18 14 10
197 cell1_MACS_peak_10951 13 12 17 18 26 27 23 25
198 cell1_MACS_peak_10953 15 16 15 18 21 22 20 15
199 cell1_MACS_peak_10958 16 13 15 15 18 13 19 18
200 cell1_MACS_peak_1096 22 23 23 18 17 11 15 16
201 cell1_MACS_peak_10967 12 13 15 16 12 13 11 12
202 cell1_MACS_peak_10974 6 6 7 7 11 6 9 11
203 cell1_MACS_peak_10979 7 10 11 9 17 15 15 16
204 cell1_MACS_peak_10984 20 20 16 16 18 14 8 11
205 cell1_MACS_peak_10986 8 9 8 9 12 11 13 13
206 cell1_MACS_peak_10991 15 10 9 16 12 11 12 10
207 cell1_MACS_peak_110 10 16 13 13 12 11 12 11
208 cell1_MACS_peak_11006 16 13 16 16 7 8 5 5
209 cell1_MACS_peak_11045 7 9 8 10 17 12 9 11
210 cell1_MACS_peak_11049 11 9 7 8 14 12 15 13
211 cell1_MACS_peak_11055 10 9 7 10 10 11 5 7
212 cell1_MACS_peak_11063 9 15 10 11 28 31 28 31
213 cell1_MACS_peak_11069 18 18 19 19 15 16 17 16
214 cell1_MACS_peak_11070 9 11 10 9 6 11 11 14
215 cell1_MACS_peak_11072 7 8 10 12 10 8 9 8
216 cell1_MACS_peak_11085 17 14 13 16 20 13 14 17
217 cell1_MACS_peak_11087 8 9 8 6 12 13 11 12
218 cell1_MACS_peak_11088 10 10 10 13 27 27 30 29
219 cell1_MACS_peak_11089 11 8 6 10 16 17 20 24
220 cell1_MACS_peak_1109 23 20 21 20 14 17 19 16
221 cell1_MACS_peak_11091 15 13 13 17 26 27 27 25
222 cell1_MACS_peak_11093 10 10 13 11 9 13 12 14
223 cell1_MACS_peak_1113 9 11 13 11 18 19 14 16
224 cell1_MACS_peak_11130 10 11 10 9 13 15 14 15
225 cell1_MACS_peak_11134 13 12 15 15 22 25 28 37
226 cell1_MACS_peak_11141 11 12 11 8 7 10 9 9
227 cell1_MACS_peak_11149 17 20 17 16 16 10 16 13
228 cell1_MACS_peak_11153 14 15 12 17 17 17 18 22
229 cell1_MACS_peak_11164 20 16 19 18 27 35 37 36
230 cell1_MACS_peak_11174 7 7 11 7 9 14 12 13
231 cell1_MACS_peak_11176 13 16 14 13 21 22 19 19
232 cell1_MACS_peak_11178 11 12 12 13 13 13 15 15
233 cell1_MACS_peak_11183 17 13 15 14 14 23 19 19
234 cell1_MACS_peak_1120 12 7 11 11 15 13 19 19
235 cell1_MACS_peak_11205 14 12 12 12 16 14 12 17
236 cell1_MACS_peak_11209 28 29 27 27 36 28 30 32
237 cell1_MACS_peak_1121 10 12 9 11 9 11 9 10
238 cell1_MACS_peak_11215 13 18 15 15 21 20 22 20
239 cell1_MACS_peak_1122 8 7 7 11 13 17 17 19
240 cell1_MACS_peak_11222 8 7 9 10 10 10 11 9
241 cell1_MACS_peak_11248 8 9 7 10 5 8 9 4
242 cell1_MACS_peak_11250 16 17 14 17 26 38 32 29
243 cell1_MACS_peak_11256 11 10 8 10 6 13 10 11
244 cell1_MACS_peak_11257 14 14 7 10 22 22 23 21
245 cell1_MACS_peak_11261 13 11 15 13 24 19 21 25
246 cell1_MACS_peak_1127 13 14 14 14 12 13 10 6
247 cell1_MACS_peak_11278 8 6 9 7 8 7 8 8
248 cell1_MACS_peak_11282 10 11 8 11 9 11 10 8
249 cell1_MACS_peak_11287 8 8 7 6 6 8 7 8
250 cell1_MACS_peak_11296 3 4 0 1 3 2 2 2
251 cell1_MACS_peak_11297 8 10 11 8 9 10 10 7
252 cell1_MACS_peak_11314 20 23 21 19 14 12 11 14
253 cell1_MACS_peak_1132 13 17 16 14 12 13 14 9
254 cell1_MACS_peak_11320 10 8 8 9 12 11 12 14
255 cell1_MACS_peak_11321 10 11 10 12 12 9 8 14
256 cell1_MACS_peak_11328 5 6 10 9 14 12 12 18
257 cell1_MACS_peak_1133 13 12 11 10 7 11 9 7
258 cell1_MACS_peak_11332 12 13 12 16 16 14 16 11
259 cell1_MACS_peak_11333 14 16 16 14 15 10 15 10
260 cell1_MACS_peak_11335 8 8 8 7 9 10 4 11
261 cell1_MACS_peak_11345 10 13 11 15 22 26 17 18
262 cell1_MACS_peak_11347 8 8 8 9 8 9 8 7
263 cell1_MACS_peak_11349 8 9 6 6 8 5 8 9
264 cell1_MACS_peak_11350 14 14 20 14 18 19 12 21
265 cell1_MACS_peak_11355 7 7 8 7 12 13 14 15
266 cell1_MACS_peak_1136 5 7 6 5 11 7 10 9
267 cell1_MACS_peak_11361 9 11 10 13 16 17 15 19
268 cell1_MACS_peak_11362 16 12 11 12 9 14 8 8
269 cell1_MACS_peak_11364 12 12 10 10 18 16 20 21
270 cell1_MACS_peak_11373 14 16 13 15 18 16 16 19
271 cell1_MACS_peak_1138 11 12 12 11 13 11 15 10
272 cell1_MACS_peak_11381 8 8 7 4 9 6 5 7
273 cell1_MACS_peak_11382 14 12 16 15 15 17 16 17
274 cell1_MACS_peak_11387 15 18 16 13 19 17 21 14
275 cell1_MACS_peak_11388 13 12 12 11 8 8 4 6
276 cell1_MACS_peak_114 31 30 28 30 21 18 14 20
277 cell1_MACS_peak_11403 11 11 12 7 8 7 11 11
278 cell1_MACS_peak_11406 7 6 8 8 11 10 10 12
279 cell1_MACS_peak_1141 8 7 9 4 2 7 7 9
280 cell1_MACS_peak_11413 22 23 26 25 29 26 19 21
281 cell1_MACS_peak_11414 11 9 11 10 14 11 13 11
282 cell1_MACS_peak_11426 12 13 15 13 8 17 11 14
283 cell1_MACS_peak_11432 12 12 11 14 14 19 14 16
284 cell1_MACS_peak_11433 12 12 13 9 11 9 9 7
285 cell1_MACS_peak_11438 8 9 8 10 11 8 10 10
286 cell1_MACS_peak_11441 10 12 13 12 6 13 14 11
287 cell1_MACS_peak_11442 7 6 9 6 7 7 7 6
288 cell1_MACS_peak_11449 17 18 18 18 15 9 8 7
